"","target_id","sample","est_counts","tpm","eff_len","len","resistance_profile","treatment"
"86","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22182bTX-xx-uu-USA-xxxx-077-JB_S2",225.127417594007,8.89877688984045,12991.5333282524,14267,"resistant","none"
"87","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22182cTX-xx-uu-USA-xxxx-077-JB_S3",124.886874077394,4.98596603335497,12884.591599139,14267,"resistant","none"
"88","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22182subaTX-xx-uu-USA-xxxx-077-JB_S7",68.1247933625905,2.69055330839795,13026.9118828943,14267,"resistant","Tx"
"89","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22182subaTZ-xx-uu-USA-xxxx-077-JB_S10",260.526596715968,10.2928471922232,13059.1324681057,14267,"resistant","Tz"
"90","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22182subbTX-xx-uu-USA-xxxx-077-JB_S8",152.365464571152,6.01059855098889,13005.6313876647,14267,"resistant","Tx"
"91","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22182subbTZ-xx-uu-USA-xxxx-077-JB_S11",265.152189844263,10.4853070089693,13042.8629724204,14267,"resistant","Tz"
"92","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22182subcTX-xx-uu-USA-xxxx-077-JB_S9",398.199421937066,15.734545329068,13059.2355551029,14267,"resistant","Tx"
"93","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22182subcTZ-xx-uu-USA-xxxx-077-JB_S12",138.608490052842,5.42465887972142,13021.8900445634,14267,"resistant","Tz"
"94","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22627aTX-xx-uu-USA-xxxx-077-JB_S4",558.731284997547,22.2317065550801,12918.5421443765,14267,"susceptible","none"
"95","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22627bTX-xx-uu-USA-xxxx-077-JB_S5",252.296342436557,9.9533996752374,13005.3655466334,14267,"susceptible","none"
"96","NODE_1_length_14267_cov_42.8606_g0_i0","ACS-TG22627cTX-xx-uu-USA-xxxx-077-JB_S6",146.580507462631,5.81620721333119,13007.8026279196,14267,"susceptible","none"
"97","NODE_1_length_14384_cov_90.3854_g0_i0","ACS-TG22182aTX-xx-uu-USA-xxxx-077-JB_S1",2.44667172365981e-07,9.41222343745116e-09,13325.6534794997,14384,"resistant","none"
"98","NODE_1_length_14384_cov_90.3854_g0_i0","ACS-TG22182bTX-xx-uu-USA-xxxx-077-JB_S2",74.3948566412519,2.85585260851638,13377.3306591946,14384,"resistant","none"
"99","NODE_1_length_14384_cov_90.3854_g0_i0","ACS-TG22182cTX-xx-uu-USA-xxxx-077-JB_S3",0,0,13272.9658801091,14384,"resistant","none"
"100","NODE_1_length_14384_cov_90.3854_g0_i0","ACS-TG22182subaTX-xx-uu-USA-xxxx-077-JB_S7",0,0,13423.9968720077,14384,"resistant","Tx"
